varname,template column name,format,units,description,options,options_values
_date,Datum,%Y-%m-%d,,,data_structure,long
_time,Tijd (UTC),%H:%M:%S,,,timezone,UTC
name,Vlinder,,,,,
lat,lat,,,,,
lon,lon,,,,,
temp,Temperatuur,,K,2mT,,
pressure,Luchtdruk,,Pa,Air pressure,,
